Name,Link,OfficialTitle,LegisType,BillStage
BILLS-115s1880is,https://www.govinfo.gov/content/pkg/BILLS-115s1880is/xml/BILLS-115s1880is.xml,"To reform our government, reduce the grip of special interest, and return our democracy to the
			 American people by increasing transparency and oversight of our elections
			 and government, reforming public financing for Presidential and
			 Congressional elections, and requiring States to conduct Congressional
			 redistricting through independent commissions, and for other purposes.",A BILL,Introduced-in-Senate
BILLS-115hr1892eah,https://www.govinfo.gov/content/pkg/BILLS-115hr1892eah/xml/BILLS-115hr1892eah.xml,,HOUSE AMENDMENT TO SENATE AMENDMENT:,
BILLS-115s1780pcs,https://www.govinfo.gov/content/pkg/BILLS-115s1780pcs/xml/BILLS-115s1780pcs.xml,"Making appropriations for the Department of State, foreign operations, and related programs for the
			 fiscal year ending September 30, 2018, and for other purposes.",A BILL,Placed-on-Calendar-Senate
BILLS-115hr2810rh,https://www.govinfo.gov/content/pkg/BILLS-115hr2810rh/xml/BILLS-115hr2810rh.xml,"To authorize appropriations for fiscal year 2018 for military activities of the Department of
			 Defense and for military construction, to prescribe military personnel
			 strengths for such fiscal year, and for other purposes.",A BILL,Reported-in-House
BILLS-115hr5515pcs,https://www.govinfo.gov/content/pkg/BILLS-115hr5515pcs/xml/BILLS-115hr5515pcs.xml,"To authorize appropriations for fiscal year 2019 for military activities of the Department of
			 Defense, for military construction, and for defense activities of the
			 Department of Energy, to prescribe military personnel strengths for such
			 fiscal year, and for other purposes.",AN ACT,Placed-on-Calendar-Senate
BILLS-115hr2825rs,https://www.govinfo.gov/content/pkg/BILLS-115hr2825rs/xml/BILLS-115hr2825rs.xml,"To amend the Homeland Security Act of 2002 to make certain improvements in the laws administered by
			 the Secretary of Homeland Security, and for other purposes.",AN ACT,Reported-in-Senate
BILLS-115hr5515eh,https://www.govinfo.gov/content/pkg/BILLS-115hr5515eh/xml/BILLS-115hr5515eh.xml,"To authorize appropriations for fiscal year 2019 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",AN ACT,Engrossed-in-House
BILLS-115hr2825rh,https://www.govinfo.gov/content/pkg/BILLS-115hr2825rh/xml/BILLS-115hr2825rh.xml,"To amend the Homeland Security Act of 2002 to make certain improvements in the laws administered by the Secretary of Homeland Security, and for other purposes.",A BILL,Reported-in-House
BILLS-115hr2810enr,https://www.govinfo.gov/content/pkg/BILLS-115hr2810enr/xml/BILLS-115hr2810enr.xml,"To authorize appropriations for fiscal year 2018 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes. ",AN ACT,Enrolled-Bill
BILLS-115hr2810pcs,https://www.govinfo.gov/content/pkg/BILLS-115hr2810pcs/xml/BILLS-115hr2810pcs.xml,"To authorize appropriations for fiscal year 2018 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",AN ACT,Placed-on-Calendar-Senate
BILLS-115hr2810eh,https://www.govinfo.gov/content/pkg/BILLS-115hr2810eh/xml/BILLS-115hr2810eh.xml,"To authorize appropriations for fiscal year 2018 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",AN ACT,Engrossed-in-House
BILLS-115hr2825rfs,https://www.govinfo.gov/content/pkg/BILLS-115hr2825rfs/xml/BILLS-115hr2825rfs.xml,"To amend the Homeland Security Act of 2002 to make certain improvements in the laws administered by
			 the Secretary of Homeland Security, and for other purposes.",AN ACT,Referred-in-Senate
BILLS-115hr2825eh,https://www.govinfo.gov/content/pkg/BILLS-115hr2825eh/xml/BILLS-115hr2825eh.xml,"To amend the Homeland Security Act of 2002 to make certain improvements in the laws administered by the Secretary of Homeland Security, and for other purposes.",AN ACT,Engrossed-in-House
