,WordText,WordTextLower,CategoryLabel
237,1691e,1691e,DATE
238,Chapter 121,chapter 121,LAW
239,National Opposition to Hate,national opposition to hate,ORG
240,Assault,assault,ORG
241,Threats,threats,NORP
242,the National Incident Based Reporting System,the national incident based reporting system,ORG
243,each fiscal year beginning,each fiscal year beginning,DATE
244,3 years,3 years,DATE
245,the Uniform Crime Reporting,the uniform crime reporting,ORG
246,the preceding fiscal year,the preceding fiscal year,DATE
247,Extensions,extensions,ORG
248,120 day,120 day,DATE
249,more than 5 years,more than 5 years,DATE
250,Hotline,hotline,ORG
251,section 2 of the Thirteenth Amendment to the Constitution of,section 2 of the thirteenth amendment to the constitution of,LAW
252,8,8,CARDINAL
253,Commerce Clause,commerce clause,ORG
254,249,249,CARDINAL
255,18,18,CARDINAL
256,Article I,article i,LAW
257,Donald John Trump,donald john trump,PERSON
258,Nazism,nazism,NORP
259,"August 15, 2017","august 15, 2017",DATE
260,Semites,semites,NORP
261,Ku Klux Klansmen,ku klux klansmen,PERSON
262,Charlottesville,charlottesville,GPE
263,Virginia,virginia,GPE
264,"August 7, 2017","august 7, 2017",DATE
265,Robert E. Lee,robert e. lee,PERSON
266,Confederate,confederate,ORG
267,"November 29, 2017","november 29, 2017",DATE
268,British,british,NORP
269,Muslims,muslims,NORP
270,Muslim,muslim,NORP
271,Dutch,dutch,NORP
272,Muslim Destroys a Statue of Virgin Mary,muslim destroys a statue of virgin mary,WORK_OF_ART
273,Islamist,islamist,NORP
274,"43,800,000","43,800,000",CARDINAL
275,Twitter,twitter,PRODUCT
276,Donald John Trump’s,donald john trump’s,PERSON
277,Article II,article ii,LAW
278,"January 27, 2017","january 27, 2017",DATE
279,DONALD J. TRUMP STATEMENT ON PREVENTING MUSLIM IMMIGRATION,donald j. trump statement on preventing muslim immigration,PERSON
280,New York,new york,GPE
281,NY,ny,GPE
282,"December 7th, 2015","december 7th, 2015",DATE
283,Donald J. Trump,donald j. trump,PERSON
284,"July 26, 2017","july 26, 2017",DATE
285,the United States Government,the united states government,ORG
286,Transgender,transgender,ORG
287,the U.S. Military,the u.s. military,ORG
288,"September 23, 2017","september 23, 2017",DATE
289,NFL,nfl,ORG
290,"September 30, 2017","september 30, 2017",DATE
291,"October 3, 2017","october 3, 2017",DATE
292,Puerto Rico,puerto rico,GPE
293,"October 19, 2017","october 19, 2017",DATE
294,The Fake News,the fake news,ORG
295,Wilson,wilson,PERSON
296,SECRETLY,secretly,ORG
297,"October 21, 2017","october 21, 2017",DATE
298,Wacky Congresswoman,wacky congresswoman,PERSON
299,the Democrat Party,the democrat party,ORG
300,"October 22, 2017","october 22, 2017",DATE
301,the Republican Party,the republican party,ORG
302,Dems,dems,NORP
303,State Immunity,state immunity,ORG
304,section 11,section 11,LAW
305,the Age Discrimination,the age discrimination,ORG
306,1967,1967,DATE
307,630,630,CARDINAL
308,section 101,section 101,LAW
309,Intern,intern,ORG
310,12103,12103,DATE
311,the Voting Rights Act,the voting rights act,ACT
312,1965,1965,DATE
313,the 14th or 15th,the 14th or 15th,DATE
314,"Federal, State","federal, state",ORG
315,52,52,CARDINAL
316,Determination of States and Political Subdivisions Subject to Section 4,determination of states and political subdivisions subject to section 4,ORG
317,4(b,4(b,CARDINAL
318,Determination of States and Political Subdivisions Subject to Requirements,determination of states and political subdivisions subject to requirements,ORG
319,previous 15 years,previous 15 years,DATE
320,a calendar year,a calendar year,DATE
321,the previous 15 calendar years,the previous 15 calendar years,DATE
322,at least one,at least one,CARDINAL
323,January 1 of the year,january 1 of the year,DATE
324,10 years,10 years,DATE
325,1)(B,1)(b,DATE
326,1)(B)(ii,1)(b)(ii,CARDINAL
327,section 2,section 2,LAW
328,section 3(c,section 3(c,LAW
329,section 5,section 5,LAW
330,more than 10,more than 10,CARDINAL
331,each calendar year,each calendar year,DATE
332,the previous calendar year,the previous calendar year,DATE
333,the previous year,the previous year,DATE
334,Federal Register,federal register,ORG
335,13,13,CARDINAL
336,the Federal Register,the federal register,ORG
337,Hispanic,hispanic,NORP
338,Latino,latino,PERSON
339,18 years of age or,18 years of age or,DATE
340,second,second,ORDINAL
341,7,7,CARDINAL
342,8),8),CARDINAL
343,Language Minority Groups,language minority groups,ORG
344,4(a)(1,4(a)(1,CARDINAL
345,10303(a)(1,10303(a)(1,CARDINAL
346,10303(a)(5,10303(a)(5,CARDINAL
347,10301,10301,DATE
348,Notice of Enacted Changes,notice of enacted changes,ORG
349,Notice of Changes,notice of changes,ORG
350,180 days,180 days,DATE
351,later than 48 hours,later than 48 hours,TIME
352,the 30th day,the 30th day,DATE
353,hours,hours,TIME
354,fewer than 48 hours,fewer than 48 hours,TIME
355,later than 10 days,later than 10 days,DATE
356,18 years of age or older,18 years of age or older,DATE
357,"greater than 10,000","greater than 10,000",CARDINAL
358,60 day,60 day,DATE
359,Clarification of Authority,clarification of authority,ORG
360,the 14th or 15th Amendment,the 14th or 15th amendment,DATE
361,10305(a,10305(a,DATE
362,10304,10304,DATE
363,701,701,CARDINAL
364,15 U.S.C. 1691,15 u.s.c. 1691,MONEY
365,Pretrial Integrity and Safety Act,pretrial integrity and safety act,ACT
366,3 fiscal years,3 fiscal years,DATE
367,more than 6,more than 6,CARDINAL
368,"more than $10,000,000","more than $10,000,000",MONEY
369,"more than $6,500,000","more than $6,500,000",MONEY
370,"more than $3,500,000","more than $3,500,000",MONEY
371,"more than $5,000,000","more than $5,000,000",MONEY
372,less than 95 percent,less than 95 percent,PERCENT
373,less than 85 percent,less than 85 percent,PERCENT
374,later than 3 days,later than 3 days,DATE
375,later than 7 days,later than 7 days,DATE
376,Limitations,limitations,ORG
377,any fiscal year,any fiscal year,DATE
378,more than 2 percent,more than 2 percent,PERCENT
379,more than 25 percent,more than 25 percent,PERCENT
380,Coast Guard Academy Improvement Act,coast guard academy improvement act,ACT
381,the Coast Guard Academy,the coast guard academy,ORG
382,the United States Coast Guard Academy,the united states coast guard academy,GPE
383,Subtitle H,subtitle h,ORG
384,2002,2002,DATE
385,451,451,CARDINAL
386,Coast Guard Academy,coast guard academy,ORG
387,the Coast Guard Academy Improvement Act,the coast guard academy improvement act,ACT
388,Academy,academy,ORG
389,11,11,CARDINAL
390,later than 60 days,later than 60 days,DATE
391,Chair,chair,NORP
392,later than 30 days,later than 30 days,DATE
393,later than 90 days,later than 90 days,DATE
394,the Federal Advisory Committee Act,the federal advisory committee act,ACT
395,5 U.S.C. App,5 u.s.c. app,MONEY
396,later than 180 days,later than 180 days,DATE
397,Commandant,commandant,ORG
398,the Committees on Homeland Security,the committees on homeland security,ORG
399,Governmental Affairs and Commerce,governmental affairs and commerce,ORG
400,Science,science,ORG
401,an additional year,an additional year,DATE
402,one year,one year,DATE
403,the Chief Human Capital Officer,the chief human capital officer,ORG
404,the Coast Guard,the coast guard,ORG
405,section 182,section 182,LAW
406,14,14,CARDINAL
407,section 890B,section 890b,ORG
408,2021,2021,DATE
409,annually,annually,DATE
410,2031,2031,DATE
411,90 days,90 days,DATE
412,890C.,890c.,CARDINAL
413,section 1(b,section 1(b,LAW
414,later than one year,later than one year,DATE
415,Department,department,ORG
416,Half,half,CARDINAL
417,the District of Columbia,the district of columbia,GPE
418,the United States Virgin Islands,the united states virgin islands,GPE
419,Resident,resident,ORG
420,Guam,guam,GPE
421,American Samoa,american samoa,ORG
422,Resident Commissioner,resident commissioner,PERSON
423,less than 25 percent,less than 25 percent,PERCENT
424,182,182,CARDINAL
425,Homeland Security,homeland security,ORG
426,Coast Guard College Student Pre Commissioning Initiative,coast guard college student pre commissioning initiative,ORG
427,Chapter 9,chapter 9,LAW
428,the Coast Guard the College Student Pre Commissioning Initiative,the coast guard the college student pre commissioning initiative,ORG
429,Coast Guard,coast guard,ORG
430,Officer Candidate School,officer candidate school,ORG
431,each academic year,each academic year,DATE
432,the College Student Pre Commissioning Initiative,the college student pre commissioning initiative,ORG
433,1973,1973,DATE
434,Tribal,tribal,ORG
435,at least 6 months,at least 6 months,DATE
436,less than 6 months,less than 6 months,DATE
437,the same days,the same days,DATE
438,Indian Health Service,indian health service,ORG
439,Bureau of Indian Affairs,bureau of indian affairs,ORG
440,section 203,section 203,LAW
441,the National Voter Registration Act,the national voter registration act,ACT
442,previous 25 years,previous 25 years,DATE
443,the previous 25 calendar years,the previous 25 calendar years,DATE
444,10,10,CARDINAL
445,203,203,CARDINAL
446,9,9,CARDINAL
447,Determination of States and Political Subdivisions Subject to Preclearance for Covered Practices,determination of states and political subdivisions subject to preclearance for covered practices,ORG
448,the Bureau of the Census,the bureau of the census,ORG
449,20 percent,20 percent,PERCENT
450,a year,a year,DATE
451,the preceding decade,the preceding decade,DATE
452,"10,000","10,000",CARDINAL
453,52 U.S.C. 21083(b,52 u.s.c. 21083(b,PERCENT
454,English,english,LANGUAGE
455,election day,election day,DATE
456,at least 20 percent,at least 20 percent,PERCENT
457,the United States District Court,the united states district court,GPE
458,60 days,60 days,DATE
459,the 60 day,the 60 day,DATE
460,section 2284,section 2284,LAW
461,28,28,CARDINAL
462,Purpose,purpose,ORG
463,"February 9, 2011","february 9, 2011",DATE
464,76,76,CARDINAL
465,Fed,fed,ORG
466,20,20,CARDINAL
467,section 1151,section 1151,DATE
468,Alaska,alaska,GPE
469,the Alaska Native Claims Settlement Act,the alaska native claims settlement act,ACT
470,43,43,CARDINAL
471,1602,1602,DATE
472,Alaska Native,alaska native,GPE
473,the Bureau of the Census for the,the bureau of the census for the,ORG
474,10503(c,10503(c,DATE
475,section 21,section 21,LAW
476,section 9 of this Act,section 9 of this act,ACT
477,25,25,CARDINAL
478,Alaskan,alaskan,NORP
479,American Indians,american indians,ORG
480,1681,1681,DATE
481,Title VI,title vi,ORG
482,Title IX Religious Discrimination in Schools and Colleges,title ix religious discrimination in schools and colleges,LAW
483,the First Amendment to the Constitution of the United States,the first amendment to the constitution of the united states,LAW
484,Western Hemisphere Travel Initiative Improvement Act,western hemisphere travel initiative improvement act,ACT
485,22,22,CARDINAL
486,Individualized,individualized,ORG
487,section 360,section 360,LAW
488,1503,1503,DATE
489,every 5 years,every 5 years,DATE
490,Commerce for Communications and Information,commerce for communications and information,ORG
491,the Hate Crime Statistics Act,the hate crime statistics act,ACT
492,Threatened,threatened,ORG
493,a)(1)(F,a)(1)(f,PERSON
494,the 30 day,the 30 day,DATE
495,the 45 day,the 45 day,DATE
496,45 day,45 day,DATE
497,fiscal years,fiscal years,DATE
498,the Higher Education Act,the higher education act,ACT
499,U.S.C.,u.s.c.,ORG
500,David Ray Hate,david ray hate,PERSON
501,David’s,david’s,PERSON
502,28 U.S.C.,28 u.s.c.,MONEY
503,994,994,CARDINAL
504,245,245,CARDINAL
505,section 994,section 994,LAW
506,the United States Sentencing Commission,the united states sentencing commission,GPE
507,the Office of Juvenile Justice,the office of juvenile justice,ORG
508,the Department of Justice,the department of justice,ORG
509,juveniles,juveniles,GPE
510,the Department of the Treasury,the department of the treasury,ORG
511,the Community Relations Service,the community relations service,ORG
512,"fiscal years 2017, 2018","fiscal years 2017, 2018",DATE
513,2019,2019,DATE
514,Jeanette Acosta Invest,jeanette acosta invest,PERSON
515,Women’s Health Act,women’s health act,ACT
516,ovarian,ovarian,GPE
517,the Public Health Service Act,the public health service act,ACT
518,42 U.S.C. 243,42 u.s.c. 243,MONEY
519,the Preventive Services Guidelines of,the preventive services guidelines of,ORG
520,the Health Resources and Service Administration,the health resources and service administration,ORG
521,"October 30, 2017","october 30, 2017",DATE
522,"200,000,000","200,000,000",MONEY
523,each of fiscal years 2019,each of fiscal years 2019,DATE
524,1396,1396,DATE
525,42 U.S.C. 300,42 u.s.c. 300,MONEY
526,the Federal Bar Association Charter Amendments Act,the federal bar association charter amendments act,ACT
527,36,36,CARDINAL
528,70508,70508,CARDINAL
529,Korematsu Takai Civil Liberties Protection,korematsu takai civil liberties protection,ORG
530,Representatives,representatives,ORG
531,Declaratory Judgment,declaratory judgment,PERSON
532,Color,color,GPE
533,fifteenth,fifteenth,ORDINAL
534,Section 1,section 1,LAW
535,1(a,1(a,CARDINAL
536,Finding of Constitutional Authority,finding of constitutional authority,ORG
537,section 3,section 3,LAW
538,An Act,an act,ACT
539,"June 18, 1929","june 18, 1929",DATE
540,later than 72 hours,later than 72 hours,TIME
541,3(d,3(d,CARDINAL
542,Notice of Final Adopted Congressional Redistricting Plan,notice of final adopted congressional redistricting plan,ORG
543,2020,2020,DATE
544,Women's Health,women's health,ORG
545,"January 1, 2017","january 1, 2017",DATE
546,each of fiscal years 2017,each of fiscal years 2017,DATE
547,"State
 ","state
 ",ORG
548,"Biennial
 ","biennial
 ",ORG
549,section 4702,section 4702,DATE
550,"Data
 ","data
 ",ORG
551,"later than January 1, 2019","later than january 1, 2019",DATE
552,2 years,2 years,DATE
553,section 4703,section 4703,LAW
554,794,794,CARDINAL
555,section 701(h,section 701(h,DATE
556,2000e(h,2000e(h,CARDINAL
557,section 302(a)(1,section 302(a)(1,LAW
558,42 U.S.C. 12102,42 u.s.c. 12102,MONEY
559,at least 40 years of age,at least 40 years of age,DATE
560,1381,1381,DATE
561,1311(a)(1,1311(a)(1,CARDINAL
562,section 4(a,section 4(a,LAW
563,Commission,commission,ORG
564,the Library of Congress,the library of congress,ORG
565,Board,board,ORG
566,10(a)(3,10(a)(3,DATE
567,304,304,CARDINAL
568,1384,1384,DATE
569,Tomorrow,tomorrow,DATE
570,1001,1001,DATE
571,Labor,labor,ORG
572,section 181,section 181,LAW
573,the first 5 full fiscal years,the first 5 full fiscal years,DATE
574,134(d)(1)(A,134(d)(1)(a,CARDINAL
575,the Workforce Innovation,the workforce innovation,ORG
576,29 U.S.C.,29 u.s.c.,PERCENT
577,section 132(a)(2)(A,section 132(a)(2)(a,LAW
578,"40,000,000","40,000,000",MONEY
579,later than December 1 of each year,later than december 1 of each year,DATE
580,the Federal Bureau of Investigation,the federal bureau of investigation,ORG
581,Career,career,LOC
582,Technical Education Act,technical education act,ACT
583,the Carl D. Perkins Career,the carl d. perkins career,FAC
584,2006,2006,DATE
585,2302,2302,DATE
586,2307,2307,DATE
587,2023,2023,DATE
588,section 112(a)(2,section 112(a)(2,LAW
589,"less than $100,000","less than $100,000",MONEY
590,123,123,CARDINAL
591,section 124(b)(10,section 124(b)(10,LAW
592,the first program year,the first program year,DATE
593,113(c)(2)(A,113(c)(2)(a,CARDINAL
594,3 consecutive years,3 consecutive years,DATE
595,less than 10 percent,less than 10 percent,PERCENT
596,section 131,section 131,LAW
597,132,132,CARDINAL
598,section 135(b)(9,section 135(b)(9,LAW
599,Section 134(b,section 134(b,DATE
600,communities of color,communities of color,ORG
601,17,17,CARDINAL
602,Principles of Environmental Justice,principles of environmental justice,ORG
603,the First National People of Color Environmental Leadership Summit,the first national people of color environmental leadership summit,ORG
604,October 24,october 24,DATE
605,"27, 1991","27, 1991",DATE
606,Washington,washington,GPE
607,DC,dc,GPE
608,the Working Group,the working group,ORG
609,Executive Order,executive order,ORG
610,65,65,CARDINAL
611,50121,50121,DATE
612,"August 16, 2000","august 16, 2000",DATE
613,Working Group,working group,ORG
614,4321,4321,DATE
615,Federal Working Group on Environmental Justice,federal working group on environmental justice,ORG
616,Agriculture,agriculture,ORG
617,Commerce,commerce,ORG
618,Energy,energy,ORG
619,Interior,interior,ORG
620,Transportation,transportation,ORG
621,the Office of Environmental Justice,the office of environmental justice,ORG
622,the Consumer Product Safety Commission,the consumer product safety commission,ORG
623,the Chemical Safety Board,the chemical safety board,ORG
624,the Office of Science and Technology Policy,the office of science and technology policy,ORG
625,the Council on Environmental Quality,the council on environmental quality,ORG
626,Domestic Policy,domestic policy,ORG
627,the National Economic Council,the national economic council,ORG
628,the Council of Economic Advisers,the council of economic advisers,ORG
629,the Environmental Protection Agency,the environmental protection agency,ORG
630,the Department of Health and Human Services,the department of health and human services,ORG
631,the Department of Housing and Urban Development,the department of housing and urban development,ORG
632,the Federal agency,the federal agency,ORG
633,1969,1969,DATE
634,5121,5121,DATE
635,Council on Environmental Quality,council on environmental quality,ORG
636,the National Environmental Policy Act,the national environmental policy act,ACT
637,EPA Policy on Consultation and Coordination,epa policy on consultation and coordination,ORG
638,552a,552a,PRODUCT
639,the Emergency Planning and Community,the emergency planning and community,ORG
640,1986,1986,DATE
641,11001,11001,DATE
642,EJScreen,ejscreen,ORG
643,National Environmental Justice Advisory Council,national environmental justice advisory council,ORG
644,"September 30, 1993","september 30, 1993",DATE
645,Advisory Council,advisory council,ORG
646,The Advisory Council,the advisory council,ORG
647,the day before the date,the day before the date,DATE
648,section 10(e,section 10(e,LAW
649,later than 120 days,later than 120 days,DATE
650,the Environmental Justice Small Grants Program,the environmental justice small grants program,ORG
651,the Environmental Justice Collaborative Problem Solving Cooperative Agreement Program,the environmental justice collaborative problem solving cooperative agreement program,ORG
652,the Community Action,the community action,ACT
653,"January 1, 2012","january 1, 2012",DATE
654,"10,000,000","10,000,000",MONEY
655,2027,2027,DATE
656,Federal Water Pollution Control,federal water pollution control,ORG
657,the Federal Water Pollution Control Act,the federal water pollution control act,ACT
658,33,33,CARDINAL
659,1342,1342,DATE
660,Clean Air Act,clean air act,ACT
661,the Clean Air Act,the clean air act,ACT
662,fourth,fourth,ORDINAL
663,third,third,ORDINAL
664,section 503(b)(3,section 503(b)(3,LAW
665,V)(bb,v)(bb,ORG
666,section 108 or,section 108 or,LAW
667,112,112,CARDINAL
668,1365,1365,DATE
669,136,136,CARDINAL
670,the Surface Mining Control and Reclamation Act,the surface mining control and reclamation act,ACT
671,1977,1977,DATE
672,30,30,CARDINAL
673,1201,1201,DATE
674,the Marine Protection,the marine protection,ORG
675,1972,1972,DATE
676,33 U.S.C.,33 u.s.c.,CARDINAL
677,1401,1401,DATE
678,the Safe Drinking Water Act,the safe drinking water act,ACT
679,300f,300f,ORG
680,6901,6901,DATE
681,602,602,CARDINAL
682,National Security Diversity,national security diversity,ORG
683,the Committee on Foreign Relations,the committee on foreign relations,ORG
684,the Committee on Armed Services,the committee on armed services,ORG
685,the Committee on Homeland Security,the committee on homeland security,ORG
686,Governmental Affairs,governmental affairs,ORG
687,the Select Committee on Intelligence,the select committee on intelligence,ORG
688,the Committee on Appropriations of the Senate,the committee on appropriations of the senate,ORG
689,the Committee on Foreign Affairs,the committee on foreign affairs,ORG
690,the Permanent Select Committee on Intelligence,the permanent select committee on intelligence,ORG
691,the Committee on Appropriations of the House of Representatives,the committee on appropriations of the house of representatives,ORG
692,national security agency,national security agency,ORG
693,the Department of State,the department of state,ORG
694,the United States Agency,the united states agency,GPE
695,International Development,international development,ORG
696,the Department of Defense,the department of defense,ORG
697,the Armed Forces,the armed forces,ORG
698,the Office of International Affairs,the office of international affairs,ORG
